predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,0.72 [0.56-0.91],0.7 [0.55-0.89],0.69 [0.55-0.88],0.69 [0.54-0.87],0.68 [0.53-0.86],0.68 [0.53-0.87],0.73 [0.56-0.96],0.75 [0.57-0.99],0.82 [0.62-1.08],0.88 [0.66-1.16],0.91 [0.69-1.21],0.9 [0.68-1.2],0.9 [0.68-1.19],0.91 [0.68-1.2],0.92 [0.69-1.21],0.92 [0.69-1.21],0.93 [0.7-1.23],0.93 [0.7-1.23],0.93 [0.7-1.23],0.94 [0.71-1.24],0.94 [0.71-1.24],1.02 [0.77-1.35],1.03 [0.78-1.36],1.03 [0.77-1.36],1.03 [0.77-1.36],1.03 [0.77-1.36]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.68 [0.58-0.8],0.65 [0.55-0.77],0.63 [0.54-0.75],0.64 [0.54-0.75],0.63 [0.53-0.74],0.65 [0.55-0.78],0.67 [0.56-0.82],0.67 [0.56-0.81],0.74 [0.61-0.89],0.76 [0.63-0.92],0.79 [0.65-0.95],0.78 [0.64-0.94],0.77 [0.64-0.94],0.78 [0.64-0.94],0.78 [0.64-0.95],0.78 [0.65-0.95],0.78 [0.65-0.95],0.79 [0.65-0.95],0.79 [0.65-0.96],0.8 [0.66-0.97],0.81 [0.66-0.98],0.85 [0.7-1.03],0.86 [0.71-1.04],0.85 [0.7-1.04],0.85 [0.7-1.04],0.86 [0.71-1.04]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,0.99 [0.92-1.06],0.93 [0.86-1],0.91 [0.84-0.98],0.91 [0.84-0.98],0.9 [0.83-0.96],0.91 [0.84-0.98],0.91 [0.84-0.98],0.91 [0.84-0.99],0.96 [0.88-1.04],0.94 [0.87-1.03],0.95 [0.87-1.03],0.95 [0.87-1.03],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.95 [0.87-1.03],0.95 [0.87-1.03],0.95 [0.88-1.04],0.95 [0.87-1.03],0.95 [0.87-1.03],0.95 [0.87-1.03],0.95 [0.88-1.04],0.95 [0.88-1.03],0.95 [0.88-1.03],0.95 [0.88-1.04]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Other lung condition,1,0.67 [0.62-0.73],0.71 [0.66-0.78],0.72 [0.67-0.79],0.72 [0.66-0.78],0.72 [0.66-0.78],0.75 [0.69-0.82],0.78 [0.71-0.85],0.81 [0.74-0.9],0.93 [0.84-1.03],0.92 [0.83-1.01],0.91 [0.83-1.01],0.91 [0.82-1.01],0.91 [0.82-1.01],0.91 [0.82-1.01],0.91 [0.82-1.01],0.91 [0.82-1.01],0.91 [0.83-1.01],0.92 [0.83-1.02],0.92 [0.83-1.02],0.91 [0.82-1.01],0.91 [0.82-1.01],0.91 [0.83-1.01],0.92 [0.83-1.02],0.92 [0.83-1.02],0.92 [0.83-1.02],0.92 [0.83-1.02]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.61 [0.56-0.67],0.65 [0.59-0.72],0.68 [0.62-0.75],0.68 [0.62-0.75],0.68 [0.62-0.75],0.68 [0.61-0.75],0.67 [0.61-0.75],0.67 [0.6-0.75],0.72 [0.65-0.81],0.72 [0.65-0.8],0.72 [0.64-0.8],0.72 [0.64-0.8],0.72 [0.64-0.8],0.72 [0.65-0.8],0.72 [0.65-0.8],0.72 [0.65-0.8],0.72 [0.65-0.81],0.72 [0.65-0.8],0.72 [0.65-0.8],0.72 [0.65-0.8],0.72 [0.65-0.8],0.77 [0.69-0.86],0.77 [0.69-0.86],0.77 [0.69-0.86],0.77 [0.69-0.86],0.77 [0.69-0.86]
Neurological condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Neurological condition,1,0.6 [0.51-0.7],0.62 [0.53-0.72],0.62 [0.53-0.72],0.62 [0.53-0.73],0.62 [0.53-0.73],0.64 [0.55-0.75],0.68 [0.57-0.81],0.68 [0.57-0.81],0.73 [0.61-0.87],0.73 [0.61-0.87],0.73 [0.61-0.87],0.72 [0.61-0.87],0.72 [0.61-0.87],0.73 [0.61-0.88],0.73 [0.61-0.88],0.73 [0.61-0.88],0.74 [0.61-0.88],0.73 [0.61-0.88],0.73 [0.61-0.88],0.73 [0.61-0.88],0.73 [0.61-0.88],0.74 [0.62-0.89],0.75 [0.63-0.9],0.75 [0.62-0.89],0.75 [0.62-0.89],0.75 [0.63-0.9]
Immunocompromised*,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Immunocompromised*,1,0.58 [0.54-0.62],0.53 [0.49-0.57],0.52 [0.49-0.56],0.52 [0.49-0.57],0.53 [0.49-0.57],0.55 [0.51-0.6],0.55 [0.5-0.6],0.55 [0.51-0.6],0.61 [0.56-0.67],0.64 [0.59-0.71],0.64 [0.59-0.7],0.65 [0.59-0.71],0.64 [0.59-0.7],0.64 [0.59-0.7],0.64 [0.59-0.7],0.64 [0.59-0.7],0.65 [0.59-0.71],0.65 [0.59-0.71],0.65 [0.59-0.71],0.67 [0.61-0.73],0.67 [0.61-0.74],0.67 [0.61-0.74],0.67 [0.61-0.74],0.67 [0.61-0.74],0.67 [0.61-0.74],0.67 [0.61-0.74]
Depression,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Depression,1,0.88 [0.8-0.97],0.76 [0.69-0.83],0.74 [0.67-0.81],0.74 [0.68-0.82],0.73 [0.66-0.8],0.74 [0.67-0.82],0.77 [0.69-0.86],0.79 [0.71-0.88],0.84 [0.75-0.94],0.84 [0.75-0.94],0.86 [0.77-0.96],0.85 [0.76-0.95],0.85 [0.76-0.95],0.85 [0.76-0.95],0.85 [0.76-0.95],0.85 [0.76-0.95],0.86 [0.77-0.96],0.86 [0.77-0.96],0.86 [0.77-0.96],0.86 [0.77-0.96],0.87 [0.78-0.97],0.87 [0.78-0.98],0.87 [0.78-0.98],0.83 [0.73-0.94],0.83 [0.73-0.94],0.82 [0.73-0.93]
Anxiety,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anxiety,1,1.11 [1.02-1.21],0.97 [0.89-1.06],0.93 [0.85-1.01],0.93 [0.85-1.02],0.91 [0.84-1],0.93 [0.85-1.02],0.97 [0.88-1.07],0.99 [0.9-1.09],1.03 [0.94-1.14],1.03 [0.93-1.14],1.04 [0.94-1.15],1.04 [0.94-1.15],1.03 [0.93-1.14],1.03 [0.93-1.14],1.03 [0.93-1.14],1.03 [0.93-1.14],1.04 [0.94-1.15],1.04 [0.94-1.15],1.04 [0.94-1.15],1.04 [0.94-1.15],1.05 [0.95-1.16],1.05 [0.95-1.17],1.13 [1.01-1.26],1.13 [1.01-1.26],1.13 [1.01-1.26],1.13 [1.01-1.26]
Psychiatric disorder (other),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Psychiatric disorder (other),1,0.89 [0.65-1.23],0.75 [0.54-1.03],0.76 [0.55-1.06],0.77 [0.55-1.07],0.77 [0.55-1.06],0.83 [0.59-1.16],0.85 [0.59-1.22],0.88 [0.61-1.26],0.93 [0.65-1.34],0.93 [0.64-1.34],0.94 [0.65-1.35],0.93 [0.65-1.34],0.93 [0.64-1.34],0.94 [0.65-1.35],0.94 [0.65-1.36],0.94 [0.65-1.36],0.95 [0.66-1.37],0.95 [0.66-1.37],0.96 [0.66-1.38],0.96 [0.66-1.38],0.97 [0.67-1.4],0.97 [0.67-1.41],1.03 [0.71-1.49],1 [0.69-1.45],1 [0.69-1.45],0.99 [0.68-1.44]
