predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Other lung condition,1,0.53 [0.39-0.72],0.87 [0.63-1.19],0.87 [0.63-1.2],0.88 [0.64-1.21],0.82 [0.59-1.14],0.88 [0.62-1.24],0.96 [0.67-1.36],1.09 [0.76-1.56],1.09 [0.76-1.56],1.08 [0.75-1.55],1.08 [0.75-1.54],1.08 [0.75-1.54],1.08 [0.75-1.54],1.08 [0.76-1.55],1.08 [0.76-1.55],1.08 [0.76-1.55],1.1 [0.77-1.57],1.1 [0.77-1.57],1.09 [0.76-1.55],1.09 [0.76-1.56],1.12 [0.78-1.6],1.12 [0.78-1.6],1.13 [0.79-1.62],1.13 [0.79-1.62],1.12 [0.77-1.61]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.25 [0.17-0.37],0.43 [0.29-0.64],0.46 [0.31-0.69],0.47 [0.31-0.71],0.45 [0.3-0.69],0.4 [0.25-0.63],0.4 [0.25-0.63],0.43 [0.27-0.67],0.43 [0.27-0.68],0.43 [0.27-0.68],0.43 [0.27-0.68],0.43 [0.27-0.68],0.43 [0.27-0.68],0.43 [0.27-0.68],0.43 [0.27-0.68],0.42 [0.27-0.67],0.42 [0.27-0.67],0.42 [0.27-0.67],0.42 [0.27-0.67],0.43 [0.27-0.68],0.45 [0.28-0.71],0.44 [0.28-0.7],0.44 [0.28-0.7],0.44 [0.28-0.7],0.42 [0.27-0.68]
Condition affecting the brain and nerves,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Condition affecting the brain and nerves,1,0.71 [0.48-1.04],0.76 [0.5-1.13],0.74 [0.49-1.12],0.78 [0.52-1.18],0.82 [0.54-1.24],0.83 [0.52-1.31],0.84 [0.53-1.34],0.89 [0.55-1.43],0.88 [0.55-1.42],0.89 [0.55-1.43],0.89 [0.56-1.43],0.9 [0.56-1.44],0.9 [0.56-1.44],0.9 [0.56-1.45],0.9 [0.56-1.45],0.9 [0.56-1.45],0.89 [0.55-1.44],0.89 [0.55-1.44],0.92 [0.57-1.49],0.92 [0.57-1.49],0.95 [0.59-1.54],0.95 [0.59-1.55],0.96 [0.59-1.55],0.96 [0.6-1.56],1.2 [0.74-1.93]
A weakened immune system/reduced ability to deal with infections,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
A weakened immune system/reduced ability to deal with infections,1,0.54 [0.42-0.7],0.54 [0.41-0.7],0.51 [0.39-0.67],0.5 [0.38-0.65],0.46 [0.35-0.61],0.44 [0.33-0.6],0.43 [0.32-0.58],0.47 [0.35-0.65],0.48 [0.35-0.66],0.48 [0.35-0.66],0.48 [0.35-0.66],0.48 [0.35-0.66],0.48 [0.35-0.66],0.48 [0.35-0.66],0.48 [0.35-0.66],0.49 [0.36-0.67],0.49 [0.36-0.67],0.49 [0.36-0.67],0.5 [0.36-0.69],0.5 [0.36-0.69],0.5 [0.36-0.69],0.5 [0.37-0.69],0.51 [0.37-0.7],0.51 [0.37-0.69],0.54 [0.39-0.75]
Depression,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Depression,1,0.9 [0.73-1.1],0.67 [0.54-0.84],0.64 [0.51-0.8],0.64 [0.51-0.8],0.63 [0.5-0.79],0.7 [0.54-0.9],0.74 [0.57-0.96],0.77 [0.6-1],0.78 [0.61-1.02],0.8 [0.62-1.04],0.8 [0.62-1.03],0.8 [0.62-1.03],0.8 [0.62-1.03],0.8 [0.62-1.04],0.8 [0.62-1.04],0.8 [0.62-1.04],0.81 [0.62-1.05],0.81 [0.62-1.05],0.8 [0.62-1.04],0.8 [0.62-1.04],0.81 [0.63-1.06],0.81 [0.63-1.06],0.97 [0.72-1.3],0.98 [0.73-1.31],1.04 [0.77-1.41]
Anxiety,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anxiety,1,0.95 [0.8-1.14],0.68 [0.56-0.82],0.62 [0.51-0.76],0.62 [0.51-0.76],0.6 [0.49-0.74],0.65 [0.52-0.81],0.67 [0.54-0.84],0.7 [0.56-0.87],0.7 [0.56-0.88],0.71 [0.56-0.88],0.7 [0.56-0.88],0.7 [0.56-0.88],0.7 [0.56-0.88],0.7 [0.56-0.88],0.7 [0.56-0.88],0.7 [0.56-0.88],0.71 [0.56-0.89],0.71 [0.56-0.89],0.7 [0.56-0.88],0.71 [0.56-0.88],0.71 [0.57-0.9],0.72 [0.56-0.93],0.72 [0.56-0.93],0.72 [0.56-0.94],0.75 [0.57-0.98]
Psychiatric disorder,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Psychiatric disorder,1,0.75 [0.36-1.58],0.49 [0.22-1.11],0.47 [0.21-1.06],0.49 [0.22-1.09],0.48 [0.21-1.07],0.55 [0.23-1.29],0.61 [0.26-1.42],0.64 [0.27-1.52],0.64 [0.27-1.51],0.68 [0.29-1.62],0.68 [0.28-1.61],0.67 [0.28-1.61],0.67 [0.28-1.61],0.68 [0.28-1.61],0.68 [0.28-1.61],0.7 [0.3-1.66],0.7 [0.3-1.66],0.7 [0.3-1.65],0.69 [0.29-1.63],0.69 [0.29-1.63],0.67 [0.28-1.58],0.72 [0.3-1.71],0.73 [0.31-1.74],0.73 [0.31-1.74],0.85 [0.35-2.07]
