Question,Category,Total antibody positive_r1,Total tests (with valid results)_r1,Crude prevalence_r1,Prevalence adjusted for test_r1,Weighted prevalence_r1,Total antibody positive_r2,Total tests (with valid results)_r2,Crude prevalence_r2,Prevalence adjusted for test_r2,Weighted prevalence_r2,Total antibody positive_r3,Total tests (with valid results)_r3,Crude prevalence_r3,Prevalence adjusted for test_r3,Weighted prevalence_r3,percent_diff_unweighted12,percent_diff_weighted12,percent_diff_unweighted23,percent_diff_weighted23,percent_diff_unweighted13,percent_diff_weighted13
employment,Other,91,1837,4.95 [4.05-6.04],4.28 [3.20-5.59],5.94 [4.67-7.45],83,1883,4.41 [3.57-5.43],3.62 [2.61-4.86],4.46 [3.38-5.76],104,2541,4.09 [3.39-4.94],3.24 [2.40-4.26],4.75 [3.75-5.91],"-15.19 [-41.59, 11.21]","-24.92 [-46.13, -3.70]","-10.77 [-38.40, 16.85]","6.50 [-18.16, 31.17]","-17.51 [-35.02, 0.00]","-20.03 [-40.40, 0.34]"
employment,Prefer not to say,135,2062,6.55 [5.56-7.70],6.20 [5.01-7.59],6.77 [5.58-8.13],128,2806,4.56 [3.85-5.40],3.81 [2.95-4.82],4.08 [3.24-5.06],200,4561,4.39 [3.83-5.02],3.60 [2.93-4.36],5.22 [4.48-6.04],"-38.55 [-56.13, -20.97]","-39.73 [-55.69, -23.78]","-5.51 [-26.77, 15.75]","27.94 [7.84, 48.04]","-38.40 [-53.32, -23.49]","-22.90 [-38.11, -7.68]"
work_sector,Home delivery,8,102,7.84 [4.03-14.72],7.76 [3.17-16.05],8.84 [3.93-17.32],36,1026,3.51 [2.55-4.82],2.54 [1.38-4.12],5.36 [3.85-7.25],76,1784,4.26 [3.42-5.30],3.45 [2.43-4.70],4.58 [3.48-5.89],"-67.27 [-124.36, -10.18]","-39.37 [-92.19, 13.46]","35.83 [-12.20, 83.86]","-14.55 [-41.23, 12.13]","-48.76 [-98.53, 1.02]","-48.19 [-100.23, 3.85]"
work_sector,Retail,30,513,5.85 [4.13-8.23],5.36 [3.29-8.22],10.81 [8.35-13.78],284,5810,4.89 [4.36-5.47],4.20 [3.57-4.91],4.91 [4.27-5.61],258,6280,4.11 [3.64-4.63],3.26 [2.70-3.89],3.61 [3.06-4.22],"-21.64 [-54.29, 11.01]","-54.49 [-72.34, -36.63]","-22.14 [-36.67, -7.62]","-26.88 [-39.31, -14.46]","-19.33 [-35.34, -3.33]","-66.70 [-84.37, -49.03]"
work_sector,"Emergency services, prisons, coastguard",3,43,6.98 [2.40-18.61],6.72 [1.21-20.73],8.64 [1.88-25.28],65,934,6.96 [5.50-8.77],6.70 [4.94-8.88],6.48 [4.69-8.73],69,1343,5.14 [4.08-6.45],4.50 [3.23-6.09],4.92 [3.55-6.62],"-0.30 [-96.43, 95.83]","-25.00 [-115.51, 65.51]","-32.69 [-57.61, -7.76]","-24.07 [-50.93, 2.78]","-25.58 [-99.65, 48.50]","-43.06 [-132.99, 46.87]"
work_sector,Public transport or taxi,4,33,12.12 [4.82-27.33],12.92 [4.12-31.24],4.49 [0.02-18.66],45,757,5.94 [4.47-7.86],5.48 [3.70-7.79],6.03 [4.33-8.19],69,1177,5.86 [4.66-7.35],5.38 [3.93-7.17],7.66 [6.13-9.46],"-57.66 [-130.03, 14.71]","34.52 [-96.88, 165.92]","-1.82 [-34.49, 30.84]","26.87 [-2.16, 55.89]","-168.15 [-375.50, 39.20]","70.60 [-59.91, 201.11]"
work_sector,Teacher or childcare,30,346,8.67 [6.14-12.11],8.76 [5.71-12.90],7.06 [4.34-10.88],365,5987,6.10 [5.52-6.73],5.66 [4.96-6.42],6.25 [5.48-7.11],566,11465,4.94 [4.56-5.35],4.26 [3.80-4.76],5.09 [4.57-5.65],"-35.39 [-64.04, -6.74]","-11.47 [-44.05, 21.10]","-24.56 [-35.16, -13.96]","-18.40 [-29.12, -7.68]","-63.60 [-98.73, -28.47]","-27.76 [-59.77, 4.25]"
work_sector,Armed forces,0,9,0.00 [0.00-23.11],0.00 [0.00-26.16],0.00 [0.00-35.76],3,97,3.09 [1.06-8.70],2.04 [0.00-8.80],1.15 [0.00-8.17],10,132,7.58 [4.17-13.38],7.44 [3.33-14.44],5.52 [1.84-12.57],"Inf [Inf, Inf]","Inf [Inf, Inf]","265.20 [34.31, 496.08]","380.87 [-6.96, 768.70]","Inf [Inf, Inf]","Inf [Inf, Inf]"
work_sector,Other,101,1597,6.32 [5.23-7.63],5.93 [4.62-7.50],7.17 [5.76-8.83],1029,21495,4.79 [4.51-5.08],4.08 [3.75-4.43],4.99 [4.63-5.37],1962,40297,4.87 [4.66-5.08],4.18 [3.93-4.44],4.77 [4.50-5.04],"-31.20 [-48.40, -14.00]","-30.40 [-45.61, -15.20]","2.45 [-4.66, 9.56]","-4.41 [-10.62, 1.80]","-24.41 [-38.49, -10.32]","-33.47 [-48.40, -18.55]"
work_sector,Not working outside home,1293,32699,3.95 [3.75-4.17],3.08 [2.83-3.34],3.69 [3.44-3.96],1308,26118,5.01 [4.75-5.28],4.35 [4.04-4.67],5.36 [5.03-5.72],1380,30722,4.49 [4.27-4.73],3.73 [3.45-4.01],4.56 [4.27-4.87],"41.56 [32.47, 50.65]","44.99 [36.86, 53.12]","-14.48 [-21.15, -7.82]","-15.11 [-20.90, -9.33]","17.62 [10.57, 24.66]","23.04 [15.45, 30.62]"
hh_size_cat,1,720,15052,4.78 [4.45-5.14],4.08 [3.68-4.50],4.67 [4.26-5.10],671,16777,4.00 [3.71-4.31],3.13 [2.79-3.50],3.57 [3.21-3.96],953,24735,3.85 [3.62-4.10],2.96 [2.67-3.25],3.30 [3.01-3.60],"-23.04 [-32.11, -13.97]","-23.55 [-31.91, -15.20]","-5.75 [-15.97, 4.47]","-7.56 [-16.81, 1.68]","-23.98 [-31.48, -16.49]","-29.34 [-36.83, -21.84]"
hh_size_cat,2,1784,36413,4.90 [4.68-5.13],4.22 [3.95-4.49],4.99 [4.70-5.28],1593,39252,4.06 [3.87-4.26],3.20 [2.97-3.44],3.76 [3.50-4.02],2273,59922,3.79 [3.64-3.95],2.88 [2.70-3.07],3.35 [3.15-3.56],"-24.17 [-30.09, -18.25]","-24.65 [-30.06, -19.24]","-10.00 [-16.56, -3.44]","-10.90 [-17.02, -4.79]","-26.85 [-31.26, -22.44]","-32.87 [-37.68, -28.06]"
hh_size_cat,3,1158,19734,5.87 [5.55-6.20],5.38 [5.00-5.79],6.45 [6.04-6.89],1065,20898,5.10 [4.81-5.40],4.45 [4.10-4.82],4.80 [4.45-5.18],1484,31429,4.72 [4.49-4.96],4.00 [3.73-4.29],4.56 [4.27-4.86],"-17.29 [-24.16, -10.41]","-25.58 [-31.63, -19.53]","-10.34 [-17.30, -3.37]","-5.42 [-12.08, 1.25]","-21.55 [-26.67, -16.43]","-29.61 [-35.19, -24.03]"
hh_size_cat,4,1204,19611,6.14 [5.81-6.48],5.71 [5.32-6.13],6.38 [5.97-6.82],1077,20110,5.36 [5.05-5.68],4.77 [4.40-5.15],5.83 [5.44-6.24],1549,30208,5.13 [4.88-5.38],4.49 [4.20-4.80],5.61 [5.29-5.94],"-16.46 [-23.12, -9.81]","-8.78 [-15.05, -2.51]","-5.87 [-12.79, 1.05]","-3.77 [-9.95, 2.40]","-19.12 [-24.61, -13.64]","-12.23 [-18.03, -6.43]"
hh_size_cat,5,447,6403,6.98 [6.38-7.63],6.72 [6.00-7.51],7.75 [7.01-8.54],392,6174,6.35 [5.77-6.99],5.96 [5.26-6.73],7.18 [6.46-7.95],529,9354,5.66 [5.21-6.14],5.13 [4.58-5.71],6.49 [5.92-7.08],"-11.31 [-22.02, -0.60]","-7.35 [-16.77, 2.06]","-13.93 [-24.66, -3.19]","-9.75 [-18.80, -0.70]","-20.52 [-28.90, -12.13]","-16.39 [-24.90, -7.87]"
hh_size_cat,6,152,1848,8.23 [7.06-9.57],8.22 [6.82-9.84],12.35 [10.85-14.00],124,1822,6.81 [5.74-8.06],6.51 [5.23-8.02],9.25 [7.96-10.70],162,2575,6.29 [5.42-7.30],5.89 [4.84-7.10],6.59 [5.63-7.67],"-20.80 [-38.08, -3.53]","-25.10 [-36.76, -13.44]","-9.68 [-28.73, 9.37]","-28.76 [-41.51, -16.00]","-18.95 [-29.47, -8.42]","-46.64 [-57.09, -36.19]"
hh_size_cat,7+,79,827,9.55 [7.73-11.75],9.82 [7.63-12.47],12.98 [10.96-15.26],73,796,9.17 [7.36-11.38],9.36 [7.18-12.02],14.90 [12.84-17.21],87,1130,7.70 [6.28-9.40],7.59 [5.88-9.64],10.55 [9.02-12.26],"-4.68 [-28.62, 19.25]","14.79 [-1.46, 31.05]","-18.91 [-41.45, 3.63]","-29.26 [-41.81, -16.71]","-17.18 [-33.36, -1.00]","-18.80 [-33.05, -4.55]"
child_in_house,No,3647,67515,5.40 [5.23-5.57],4.82 [4.62-5.03],5.69 [5.47-5.91],3338,73258,4.56 [4.41-4.71],3.80 [3.62-3.99],4.52 [4.33-4.72],4693,109481,4.29 [4.17-4.41],3.48 [3.34-3.62],4.13 [3.98-4.29],"-20.95 [-24.90, -17.01]","-20.56 [-24.08, -17.05]","-8.68 [-12.89, -4.47]","-8.63 [-12.39, -4.87]","-23.55 [-26.54, -20.56]","-27.42 [-30.58, -24.25]"
child_in_house,Yes,1897,32373,5.86 [5.61-6.12],5.37 [5.07-5.69],6.53 [6.21-6.87],1657,32571,5.09 [4.85-5.33],4.44 [4.16-4.74],5.49 [5.19-5.80],2343,49867,4.70 [4.52-4.89],3.97 [3.75-4.20],4.92 [4.68-5.16],"-17.13 [-22.53, -11.73]","-15.93 [-20.67, -11.18]","-10.59 [-16.22, -4.95]","-10.38 [-15.30, -5.46]","-21.29 [-25.27, -17.30]","-24.66 [-28.94, -20.37]"
COVIDC,No symptoms,87,683,12.74 [10.44-15.45],13.66 [10.90-16.93],14.30 [11.72-17.29],67,695,9.64 [7.66-12.06],9.93 [7.55-12.85],8.92 [6.90-11.35],107,1112,9.62 [8.03-11.50],9.91 [7.98-12.17],10.62 [8.87-12.61],"-27.31 [-47.51, -7.10]","-37.62 [-54.76, -20.49]","-0.30 [-23.67, 23.06]","18.95 [-3.48, 41.37]","-26.29 [-43.99, -8.60]","-25.80 [-41.96, -9.65]"
COVIDC,Mild symptoms,1025,6071,16.88 [15.96-17.85],18.65 [17.54-19.82],20.19 [19.09-21.33],821,5396,15.21 [14.28-16.20],16.64 [15.52-17.83],18.22 [17.11-19.38],1189,8481,14.02 [13.30-14.77],15.20 [14.33-16.11],16.98 [16.12-17.88],"-10.78 [-16.78, -4.77]","-9.71 [-15.16, -4.26]","-8.65 [-14.66, -2.64]","-6.81 [-12.24, -1.37]","-17.09 [-21.99, -12.18]","-15.85 [-20.70, -11.00]"
COVIDC,Moderate symptoms,1850,9261,19.98 [19.17-20.80],22.38 [21.42-23.38],24.92 [23.93-25.95],1670,8866,18.84 [18.04-19.66],21.01 [20.04-22.00],23.32 [22.34-24.33],2326,14298,16.27 [15.67-16.88],17.91 [17.20-18.65],19.61 [18.87-20.37],"-6.17 [-10.46, -1.88]","-6.42 [-10.35, -2.49]","-14.71 [-18.71, -10.71]","-15.95 [-19.64, -12.26]","-17.94 [-21.31, -14.57]","-21.35 [-24.84, -17.86]"
COVIDC,Severe symtoms,884,3501,25.25 [23.84-26.72],28.73 [27.03-30.50],30.86 [29.14-32.64],872,3654,23.86 [22.51-25.27],27.07 [25.43-28.76],29.35 [27.67-31.09],1271,6348,20.02 [19.06-21.02],22.44 [21.27-23.64],23.38 [22.22-24.59],"-5.81 [-11.59, -0.03]","-4.89 [-10.37, 0.58]","-17.10 [-22.31, -11.90]","-20.31 [-25.18, -15.43]","-20.41 [-25.11, -15.72]","-24.21 [-28.94, -19.48]"
bmi_cat,Underweight (<18.5),65,1236,5.26 [4.15-6.65],4.65 [3.31-6.32],5.60 [4.24-7.25],46,1416,3.25 [2.44-4.31],2.23 [1.26-3.50],4.77 [3.59-6.18],62,1993,3.11 [2.43-3.97],2.06 [1.25-3.09],3.11 [2.26-4.14],"-52.04 [-79.78, -24.30]","-14.82 [-39.11, 9.46]","-7.62 [-52.02, 36.77]","-34.59 [-57.65, -11.53]","-46.25 [-67.86, -24.64]","-44.29 [-66.07, -22.50]"
bmi_cat,Normal (18.5-24.9),1919,36191,5.30 [5.08-5.54],4.70 [4.43-4.99],5.50 [5.21-5.80],1722,38348,4.49 [4.29-4.70],3.72 [3.48-3.98],4.54 [4.28-4.81],2394,57658,4.15 [3.99-4.32],3.32 [3.12-3.52],4.17 [3.97-4.39],"-20.85 [-26.38, -15.32]","-17.64 [-22.55, -12.73]","-11.02 [-16.94, -5.11]","-8.15 [-13.22, -3.08]","-25.27 [-29.45, -21.09]","-24.36 [-28.91, -19.82]"
bmi_cat,Overweight (25-29.9),1826,31818,5.74 [5.49-6.00],5.23 [4.93-5.54],6.44 [6.11-6.79],1605,33467,4.80 [4.57-5.03],4.09 [3.82-4.37],4.98 [4.68-5.28],2285,50215,4.55 [4.37-4.74],3.80 [3.58-4.02],4.51 [4.28-4.75],"-21.61 [-26.96, -16.25]","-22.83 [-27.64, -18.01]","-7.33 [-13.20, -1.47]","-9.44 [-14.66, -4.22]","-22.20 [-26.24, -18.17]","-30.12 [-34.47, -25.78]"
bmi_cat,Obese (>=30),1161,19855,5.85 [5.53-6.18],5.36 [4.98-5.76],6.06 [5.65-6.49],1121,20908,5.36 [5.06-5.68],4.77 [4.41-5.15],5.60 [5.21-6.00],1545,30244,5.11 [4.87-5.36],4.47 [4.18-4.77],5.19 [4.87-5.51],"-11.01 [-17.91, -4.10]","-7.76 [-14.36, -1.16]","-6.29 [-13.21, 0.63]","-7.32 [-13.57, -1.07]","-14.69 [-20.30, -9.08]","-14.52 [-20.46, -8.58]"
smokenow,Yes,433,10635,4.07 [3.71-4.46],3.22 [2.79-3.69],4.57 [4.10-5.08],375,11501,3.26 [2.95-3.60],2.24 [1.87-2.65],2.99 [2.61-3.42],475,16389,2.90 [2.65-3.17],1.81 [1.51-2.13],2.22 [1.92-2.54],"-30.43 [-43.17, -17.70]","-34.35 [-43.98, -24.73]","-19.20 [-34.38, -4.02]","-26.09 [-37.79, -14.38]","-30.85 [-39.17, -22.54]","-51.42 [-60.18, -42.67]"
smokenow,No,5059,88290,5.73 [5.58-5.89],5.22 [5.03-5.40],6.15 [5.95-6.35],4580,93580,4.89 [4.76-5.03],4.21 [4.05-4.38],5.07 [4.89-5.25],6513,141756,4.59 [4.49-4.70],3.85 [3.72-3.98],4.67 [4.53-4.82],"-19.54 [-22.80, -16.28]","-17.40 [-20.33, -14.47]","-8.55 [-12.11, -4.99]","-7.89 [-11.05, -4.73]","-22.44 [-25.04, -19.84]","-23.90 [-26.67, -21.14]"
popDens_quintile,1,806,19719,4.09 [3.82-4.37],3.24 [2.92-3.58],3.35 [2.97-3.76],677,20186,3.35 [3.11-3.61],2.35 [2.07-2.66],2.57 [2.22-2.96],962,30556,3.15 [2.96-3.35],2.11 [1.88-2.35],2.07 [1.80-2.36],"-27.47 [-37.04, -17.90]","-22.99 [-34.03, -11.94]","-10.21 [-21.28, 0.85]","-19.84 [-32.30, -7.39]","-33.73 [-42.09, -25.37]","-38.21 [-48.06, -28.36]"
popDens_quintile,2,996,19459,5.12 [4.82-5.44],4.48 [4.12-4.86],4.76 [4.35-5.19],889,20021,4.44 [4.16-4.73],3.66 [3.33-4.02],3.71 [3.33-4.12],1269,30692,4.13 [3.92-4.36],3.29 [3.03-3.57],3.56 [3.25-3.88],"-18.30 [-26.12, -10.49]","-22.06 [-30.46, -13.66]","-10.11 [-18.31, -1.91]","-4.31 [-13.75, 5.12]","-25.00 [-31.72, -18.28]","-25.42 [-32.98, -17.86]"
popDens_quintile,3,1023,19746,5.18 [4.88-5.50],4.56 [4.19-4.94],4.97 [4.59-5.38],931,20025,4.65 [4.37-4.95],3.91 [3.57-4.28],4.48 [4.10-4.88],1252,30267,4.14 [3.92-4.37],3.30 [3.03-3.57],3.54 [3.26-3.84],"-13.82 [-21.49, -6.14]","-10.06 [-17.71, -2.41]","-15.86 [-23.79, -7.93]","-20.98 [-28.35, -13.62]","-25.15 [-31.59, -18.71]","-28.97 [-35.81, -22.13]"
popDens_quintile,4,1144,20171,5.67 [5.36-6.00],5.15 [4.77-5.54],5.72 [5.34-6.11],954,20181,4.73 [4.44-5.03],4.01 [3.67-4.37],4.18 [3.83-4.56],1410,30066,4.69 [4.46-4.93],3.96 [3.68-4.26],4.30 [4.01-4.61],"-21.94 [-28.93, -14.95]","-26.75 [-33.22, -20.28]","-1.25 [-8.98, 6.48]","2.87 [-4.78, 10.53]","-20.63 [-26.40, -14.86]","-24.65 [-30.59, -18.71]"
popDens_quintile,5,1575,20813,7.57 [7.22-7.93],7.43 [7.01-7.87],8.70 [8.32-9.10],1544,25416,6.07 [5.79-6.38],5.63 [5.29-5.99],6.63 [6.33-6.94],2144,37786,5.67 [5.45-5.91],5.15 [4.87-5.44],6.06 [5.82-6.31],"-24.23 [-29.48, -18.98]","-23.79 [-27.70, -19.89]","-8.70 [-14.21, -3.20]","-8.60 [-12.67, -4.52]","-26.32 [-30.46, -22.18]","-30.34 [-34.02, -26.67]"
COVIDA,Positive test,277,341,81.23 [76.75-85.02],96.18 [90.78-100.00],94.41 [88.84-99.17],274,360,76.11 [71.45-80.23],90.01 [84.39-94.97],85.71 [80.10-90.79],474,750,63.20 [59.69-66.58],74.46 [70.23-78.53],77.60 [73.69-81.34],"-6.42 [-11.63, -1.20]","-9.22 [-14.66, -3.77]","-17.28 [-22.43, -12.12]","-9.46 [-14.76, -4.17]","-23.01 [-27.75, -18.26]","-17.81 [-22.51, -13.10]"
COVIDA,Suspected by doctor,353,1144,30.86 [28.25-33.59],35.49 [32.35-38.79],39.72 [36.66-42.89],348,1214,28.67 [26.19-31.27],32.85 [29.87-35.99],33.57 [30.69-36.60],470,1811,25.95 [23.99-28.02],29.58 [27.21-32.07],30.32 [28.00-32.76],"-7.41 [-16.03, 1.21]","-15.48 [-22.94, -8.03]","-9.98 [-18.20, -1.77]","-9.65 [-17.46, -1.85]","-14.88 [-21.88, -7.88]","-23.64 [-30.44, -16.84]"
COVIDA,Suspected by respondent,3118,17893,17.43 [16.88-17.99],19.31 [18.65-19.99],21.09 [20.42-21.78],2742,16914,16.21 [15.66-16.77],17.85 [17.19-18.52],19.71 [19.04-20.39],3867,27546,14.04 [13.63-14.45],15.23 [14.74-15.73],16.40 [15.91-16.90],"-7.61 [-10.98, -4.25]","-6.59 [-9.72, -3.46]","-14.62 [-17.82, -11.43]","-16.79 [-19.74, -13.85]","-19.35 [-22.05, -16.64]","-22.29 [-25.04, -19.54]"
COVIDA,No,1698,80390,2.11 [2.02-2.21],0.86 [0.74-0.98],1.29 [1.16-1.42],1565,87217,1.79 [1.71-1.88],0.48 [0.37-0.58],0.80 [0.69-0.92],2144,129126,1.66 [1.59-1.73],0.31 [0.23-0.40],0.64 [0.55-0.73],"-45.35 [-58.14, -32.56]","-37.21 [-46.51, -27.91]","-33.33 [-52.08, -14.58]","-21.25 [-33.75, -8.75]","-42.64 [-50.39, -34.88]","-50.39 [-58.91, -41.86]"
PCRpos_cat,<30 days ago,69,90,76.67 [66.95-84.20],90.68 [78.97-99.76],87.86 [74.63-98.20],15,28,53.57 [35.81-70.47],62.86 [41.46-83.21],56.32 [35.35-77.85],43,109,39.45 [30.78-48.83],45.84 [35.40-57.15],55.76 [46.35-65.31],"-30.69 [-49.39, -11.99]","-35.89 [-56.02, -15.75]","-27.08 [-54.31, 0.16]","-1.01 [-31.16, 29.14]","-51.05 [-63.02, -39.07]","-36.54 [-48.58, -24.49]"
PCRpos_cat,30-60 days ago,74,95,77.89 [68.56-85.06],92.16 [80.91-100.00],95.29 [83.41-100.00],48,65,73.85 [62.05-82.98],87.28 [73.07-98.29],83.27 [70.15-94.07],42,61,68.85 [56.41-79.06],81.27 [66.28-93.57],83.27 [70.15-94.07],"-5.28 [-17.49, 6.92]","-12.61 [-24.17, -1.06]","-6.90 [-21.91, 8.11]","0.00 [-14.27, 14.27]","-11.43 [-23.90, 1.04]","-12.61 [-24.17, -1.06]"
PCRpos_cat,61-90 days ago,106,125,84.80 [77.48-90.05],100.00 [91.66-100.00],100.00 [96.75-100.00],68,92,73.91 [64.11-81.80],87.37 [75.56-96.86],88.03 [76.40-97.35],49,95,51.58 [41.67-61.37],60.46 [48.51-72.25],67.82 [56.25-78.73],"-13.12 [-22.22, -4.02]","-16.74 [-25.38, -8.10]","-30.79 [-43.58, -17.99]","-22.97 [-35.18, -10.76]","-40.02 [-49.86, -30.18]","-36.96 [-46.08, -27.84]"
PCRpos_cat,90+ days ago,28,31,90.32 [75.10-96.65],100.00 [88.80-100.00],74.77 [58.40-88.91],143,175,81.71 [75.33-86.74],96.76 [89.07-100.00],89.65 [81.65-96.38],340,485,70.10 [65.88-74.01],82.77 [77.69-87.48],85.03 [80.21-89.47],"-10.37 [-20.23, -0.51]","19.90 [3.85, 35.95]","-14.46 [-20.48, -8.43]","-5.14 [-11.87, 1.58]","-32.58 [-44.99, -20.17]","13.74 [-1.42, 28.89]"
SympOnset_cat,<30 days ago,21,280,7.50 [4.96-11.19],7.35 [4.29-11.80],5.40 [2.94-9.05],14,287,4.88 [2.93-8.02],4.19 [1.84-7.98],3.13 [1.15-6.41],64,939,6.82 [5.37-8.61],6.53 [4.79-8.69],7.77 [6.08-9.80],"-42.99 [-87.76, 1.77]","-42.04 [-92.59, 8.52]","55.85 [-2.86, 114.56]","148.24 [78.59, 217.89]","-15.19 [-68.70, 38.33]","43.89 [-1.30, 89.07]"
SympOnset_cat,30-60 days ago,111,611,18.17 [15.31-21.42],20.20 [16.76-24.12],20.40 [17.11-24.10],21,227,9.25 [6.13-13.73],9.46 [5.70-14.85],10.64 [6.90-15.75],45,386,11.66 [8.83-15.24],12.36 [8.95-16.68],15.96 [12.48-20.12],"-53.17 [-73.12, -33.22]","-47.84 [-66.81, -28.87]","30.66 [-12.68, 74.00]","49.91 [12.12, 87.69]","-38.43 [-56.42, -20.44]","-21.81 [-39.31, -4.31]"
SympOnset_cat,61-90 days ago,976,2804,34.81 [33.07-36.59],40.25 [38.15-42.40],41.96 [39.93-44.04],65,405,16.05 [12.80-19.94],17.65 [13.73-22.34],19.65 [15.91-23.98],32,329,9.73 [6.97-13.41],10.03 [6.72-14.47],14.72 [11.18-19.03],"-56.15 [-64.37, -47.93]","-53.17 [-60.63, -45.71]","-43.12 [-65.67, -20.57]","-25.09 [-44.83, -5.34]","-72.00 [-79.22, -64.78]","-64.92 [-72.19, -57.65]"
SympOnset_cat,91-120 days ago,2191,7125,30.75 [29.69-31.83],35.36 [34.08-36.67],37.65 [36.40-38.94],430,1419,30.30 [27.97-32.74],34.82 [32.01-37.76],36.34 [33.64-39.15],52,389,13.37 [10.34-17.11],14.42 [10.77-18.93],16.35 [12.77-20.62],"-1.53 [-7.66, 4.61]","-3.45 [-9.00, 2.10]","-58.59 [-68.47, -48.71]","-55.04 [-64.12, -45.95]","-55.62 [-63.43, -47.81]","-56.57 [-64.12, -49.03]"
SympOnset_cat,121-150 days ago,183,3080,5.94 [5.16-6.83],5.47 [4.53-6.55],6.90 [5.86-8.06],2317,6779,34.18 [33.06-35.32],39.49 [38.14-40.86],41.32 [40.01-42.65],193,916,21.07 [18.55-23.83],23.70 [20.67-27.02],27.02 [24.11-30.15],"621.94 [600.55, 643.33]","498.84 [481.74, 515.94]","-39.98 [-46.01, -33.96]","-34.58 [-40.08, -29.09]","264.20 [230.87, 297.54]","291.74 [259.57, 323.91]"
SympOnset_cat,>150 days ago,102,2185,4.67 [3.86-5.64],3.94 [2.96-5.10],4.64 [3.60-5.88],380,6121,6.21 [5.63-6.84],5.79 [5.10-6.55],6.65 [5.91-7.44],4160,21397,19.44 [18.92-19.98],21.74 [21.11-22.38],23.37 [22.74-24.03],"47.21 [24.62, 69.80]","43.32 [23.06, 63.58]","275.13 [263.56, 286.70]","251.43 [241.05, 261.80]","383.41 [364.87, 401.94]","403.66 [384.27, 423.06]"
COVIDCON,"Yes, with confirmed case",742,3946,18.80 [17.62-20.05],20.97 [19.54-22.47],23.19 [21.72-24.73],753,4543,16.57 [15.52-17.68],18.28 [17.01-19.62],18.59 [17.37-19.88],1107,7793,14.21 [13.45-15.00],15.43 [14.52-16.38],16.05 [15.16-16.97],"-12.78 [-19.22, -6.34]","-19.84 [-25.66, -14.01]","-15.59 [-21.61, -9.57]","-13.66 [-19.42, -7.91]","-23.85 [-29.02, -18.67]","-30.79 [-36.01, -25.57]"
COVIDCON,"Yes, with suspected case",896,5307,16.88 [15.90-17.92],18.65 [17.47-19.90],19.39 [18.22-20.63],842,5115,16.46 [15.47-17.50],18.15 [16.95-19.40],20.81 [19.60-22.07],1121,7362,15.23 [14.42-16.07],16.66 [15.69-17.67],17.98 [17.02-18.98],"-2.73 [-9.12, 3.65]","7.27 [1.13, 13.41]","-8.15 [-14.10, -2.20]","-13.55 [-18.79, -8.31]","-10.26 [-15.83, -4.69]","-7.27 [-12.79, -1.75]"
COVIDCON,No,3906,90655,4.31 [4.18-4.44],3.50 [3.35-3.67],4.35 [4.18-4.53],3400,96171,3.54 [3.42-3.65],2.57 [2.43-2.72],3.18 [3.03-3.33],4809,144211,3.33 [3.24-3.43],2.33 [2.22-2.44],2.92 [2.80-3.04],"-26.57 [-30.86, -22.29]","-26.90 [-30.57, -23.22]","-9.73 [-14.40, -5.06]","-8.18 [-12.26, -4.09]","-27.13 [-30.11, -24.14]","-32.87 [-36.09, -29.66]"
health_conditions,>1,1097,22127,4.96 [4.68-5.25],4.29 [3.95-4.64],5.15 [4.79-5.52],1112,24429,4.55 [4.30-4.82],3.80 [3.49-4.12],4.33 [4.01-4.67],962,24548,3.92 [3.68-4.17],3.03 [2.75-3.34],3.73 [3.43-4.05],"-11.42 [-18.88, -3.96]","-15.53 [-22.14, -8.93]","-20.00 [-27.89, -12.11]","-14.09 [-21.25, -6.93]","-24.27 [-30.29, -18.25]","-27.38 [-33.79, -20.97]"
health_conditions,1,1558,28308,5.50 [5.24-5.78],4.94 [4.63-5.27],5.99 [5.65-6.34],1407,30313,4.64 [4.41-4.88],3.91 [3.63-4.20],4.80 [4.49-5.12],1721,41156,4.18 [3.99-4.38],3.35 [3.12-3.59],4.08 [3.83-4.34],"-21.05 [-27.13, -14.98]","-19.87 [-25.21, -14.52]","-14.07 [-20.46, -7.67]","-15.00 [-20.83, -9.17]","-26.54 [-31.05, -22.04]","-31.89 [-36.73, -27.05]"
health_conditions,0,2889,49473,5.84 [5.64-6.05],5.35 [5.10-5.60],6.31 [6.05-6.58],2476,51087,4.85 [4.66-5.04],4.15 [3.93-4.38],5.08 [4.85-5.33],4354,93663,4.65 [4.52-4.79],3.91 [3.75-4.08],4.69 [4.52-4.87],"-22.24 [-26.54, -17.94]","-19.49 [-23.45, -15.53]","-5.78 [-10.36, -1.20]","-7.68 [-11.61, -3.74]","-22.66 [-25.83, -19.49]","-25.67 [-29.16, -22.19]"
bmi_lower,Underweight (<18.5),65,1236,5.26 [4.15-6.65],4.65 [3.31-6.32],5.60 [4.24-7.25],46,1416,3.25 [2.44-4.31],2.23 [1.26-3.50],4.77 [3.59-6.18],62,1993,3.11 [2.43-3.97],2.06 [1.25-3.09],3.11 [2.26-4.14],"-52.04 [-79.78, -24.30]","-14.82 [-39.11, 9.46]","-7.62 [-52.02, 36.77]","-34.59 [-57.65, -11.53]","-46.25 [-67.86, -24.64]","-44.29 [-66.07, -22.50]"
