predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Other lung condition,1,0.78 [0.65-0.93],0.83 [0.7-1],0.84 [0.7-1],0.85 [0.71-1.01],0.81 [0.68-0.98],0.79 [0.65-0.97],0.85 [0.69-1.04],0.89 [0.72-1.09],0.89 [0.72-1.09],0.89 [0.73-1.09],0.9 [0.73-1.1],0.9 [0.73-1.1],0.9 [0.73-1.1],0.9 [0.73-1.1],0.9 [0.73-1.1],0.9 [0.73-1.1],0.91 [0.74-1.11],0.91 [0.74-1.11],0.91 [0.74-1.11],0.91 [0.74-1.11],0.92 [0.75-1.13],0.92 [0.75-1.13],0.92 [0.75-1.13],0.92 [0.75-1.13],0.96 [0.78-1.18]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.81 [0.67-0.97],0.87 [0.72-1.05],0.89 [0.74-1.08],0.87 [0.72-1.05],0.87 [0.72-1.06],0.87 [0.71-1.08],0.87 [0.71-1.07],0.89 [0.72-1.09],0.89 [0.72-1.09],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.91 [0.74-1.12],0.91 [0.74-1.12],0.91 [0.74-1.12],0.91 [0.74-1.12],0.92 [0.75-1.14]
Condition affecting the brain and nerves,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Condition affecting the brain and nerves,1,0.89 [0.73-1.09],0.85 [0.69-1.03],0.82 [0.67-1.01],0.84 [0.68-1.02],0.8 [0.65-0.99],0.83 [0.67-1.04],0.84 [0.67-1.04],0.87 [0.69-1.08],0.86 [0.69-1.08],0.87 [0.7-1.09],0.87 [0.7-1.09],0.88 [0.7-1.09],0.88 [0.7-1.1],0.88 [0.7-1.1],0.88 [0.7-1.1],0.88 [0.7-1.1],0.88 [0.71-1.1],0.88 [0.7-1.1],0.88 [0.71-1.1],0.88 [0.71-1.1],0.9 [0.72-1.12],0.91 [0.73-1.13],0.91 [0.73-1.13],0.91 [0.73-1.13],0.93 [0.75-1.17]
A weakened immune system/reduced ability to deal with infections,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
A weakened immune system/reduced ability to deal with infections,1,0.81 [0.72-0.92],0.77 [0.68-0.87],0.74 [0.65-0.83],0.73 [0.65-0.83],0.68 [0.6-0.78],0.69 [0.6-0.79],0.7 [0.61-0.8],0.73 [0.63-0.84],0.73 [0.63-0.84],0.73 [0.64-0.85],0.74 [0.64-0.85],0.74 [0.64-0.85],0.74 [0.64-0.85],0.74 [0.64-0.85],0.73 [0.64-0.85],0.74 [0.64-0.85],0.74 [0.64-0.85],0.74 [0.64-0.85],0.74 [0.64-0.85],0.74 [0.64-0.86],0.74 [0.64-0.86],0.75 [0.65-0.86],0.75 [0.65-0.86],0.75 [0.65-0.86],0.77 [0.67-0.89]
Depression,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Depression,1,0.96 [0.9-1.02],0.89 [0.83-0.96],0.86 [0.81-0.93],0.87 [0.81-0.93],0.84 [0.79-0.91],0.87 [0.8-0.94],0.89 [0.83-0.97],0.91 [0.84-0.98],0.91 [0.84-0.98],0.92 [0.85-0.99],0.92 [0.85-0.99],0.92 [0.85-0.99],0.92 [0.85-0.99],0.92 [0.85-0.99],0.92 [0.85-0.99],0.92 [0.85-0.99],0.92 [0.85-1],0.92 [0.85-1],0.92 [0.85-1],0.92 [0.85-1],0.93 [0.86-1.01],0.93 [0.86-1.01],0.94 [0.86-1.03],0.94 [0.86-1.03],0.94 [0.86-1.03]
Anxiety,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anxiety,1,1.06 [1-1.13],0.98 [0.92-1.04],0.93 [0.88-0.99],0.94 [0.89-1],0.9 [0.85-0.95],0.91 [0.85-0.97],0.93 [0.87-0.99],0.94 [0.88-1.01],0.94 [0.88-1.01],0.94 [0.88-1.01],0.94 [0.88-1.01],0.95 [0.89-1.01],0.95 [0.89-1.01],0.95 [0.89-1.01],0.95 [0.89-1.01],0.95 [0.89-1.01],0.95 [0.89-1.02],0.95 [0.89-1.02],0.95 [0.89-1.02],0.95 [0.89-1.02],0.96 [0.9-1.02],0.98 [0.91-1.06],0.98 [0.91-1.06],0.98 [0.91-1.06],0.98 [0.91-1.06]
Psychiatric disorder,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Psychiatric disorder,1,0.97 [0.76-1.23],0.8 [0.63-1.02],0.8 [0.62-1.01],0.81 [0.63-1.03],0.77 [0.59-0.99],0.77 [0.58-1.01],0.8 [0.61-1.06],0.82 [0.62-1.08],0.82 [0.62-1.08],0.82 [0.62-1.08],0.82 [0.63-1.09],0.82 [0.63-1.09],0.83 [0.63-1.09],0.83 [0.63-1.09],0.83 [0.63-1.09],0.83 [0.63-1.09],0.83 [0.63-1.09],0.83 [0.63-1.09],0.83 [0.63-1.09],0.83 [0.63-1.09],0.83 [0.63-1.1],0.86 [0.65-1.14],0.87 [0.66-1.15],0.87 [0.66-1.15],0.9 [0.68-1.19]
