predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,0.86 [0.73-1.02],0.89 [0.75-1.05],0.89 [0.75-1.05],0.88 [0.75-1.04],0.87 [0.74-1.03],0.84 [0.71-1],0.89 [0.74-1.07],0.92 [0.76-1.11],0.96 [0.8-1.16],0.99 [0.82-1.2],1.03 [0.85-1.25],1.02 [0.85-1.24],1.02 [0.84-1.24],1.03 [0.85-1.24],1.03 [0.85-1.25],1.03 [0.85-1.25],1.04 [0.86-1.26],1.04 [0.86-1.26],1.04 [0.86-1.26],1.04 [0.86-1.26],1.04 [0.86-1.26],1.07 [0.88-1.3],1.08 [0.89-1.31],1.08 [0.89-1.31],1.08 [0.89-1.31],1.09 [0.9-1.32]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.86 [0.76-0.97],0.82 [0.73-0.93],0.79 [0.7-0.89],0.78 [0.69-0.88],0.76 [0.68-0.86],0.77 [0.68-0.87],0.79 [0.69-0.9],0.78 [0.68-0.9],0.82 [0.72-0.94],0.84 [0.73-0.96],0.86 [0.75-0.99],0.86 [0.74-0.98],0.85 [0.74-0.98],0.86 [0.74-0.98],0.86 [0.75-0.99],0.86 [0.75-0.98],0.86 [0.75-0.98],0.86 [0.75-0.99],0.86 [0.75-0.98],0.86 [0.75-0.99],0.86 [0.75-0.99],0.88 [0.77-1.01],0.89 [0.78-1.03],0.89 [0.77-1.02],0.89 [0.77-1.02],0.89 [0.77-1.02]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,0.98 [0.94-1.03],0.97 [0.92-1.02],0.95 [0.9-0.99],0.95 [0.9-0.99],0.93 [0.89-0.98],0.93 [0.89-0.98],0.94 [0.89-0.99],0.94 [0.89-0.99],0.96 [0.91-1.02],0.96 [0.91-1.01],0.96 [0.91-1.01],0.96 [0.91-1.01],0.96 [0.91-1.01],0.96 [0.91-1.01],0.96 [0.91-1.01],0.96 [0.91-1.01],0.96 [0.91-1.01],0.96 [0.91-1.01],0.95 [0.9-1.01],0.95 [0.9-1.01],0.95 [0.9-1],0.95 [0.9-1],0.96 [0.91-1.01],0.96 [0.91-1.01],0.96 [0.91-1.01],0.95 [0.9-1]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Other lung condition,1,0.86 [0.8-0.91],0.88 [0.82-0.93],0.89 [0.84-0.95],0.89 [0.84-0.95],0.89 [0.83-0.95],0.91 [0.85-0.97],0.93 [0.87-1],0.99 [0.92-1.06],1.07 [1-1.16],1.07 [0.99-1.15],1.06 [0.99-1.14],1.06 [0.98-1.14],1.06 [0.98-1.14],1.06 [0.98-1.14],1.06 [0.98-1.14],1.06 [0.98-1.14],1.06 [0.98-1.14],1.07 [0.99-1.15],1.07 [0.99-1.15],1.06 [0.99-1.15],1.06 [0.99-1.15],1.07 [0.99-1.15],1.07 [1-1.16],1.07 [1-1.16],1.07 [0.99-1.16],1.02 [0.95-1.1]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.81 [0.75-0.87],0.82 [0.76-0.88],0.86 [0.79-0.92],0.86 [0.8-0.93],0.87 [0.8-0.93],0.86 [0.79-0.93],0.84 [0.78-0.91],0.84 [0.77-0.91],0.88 [0.81-0.96],0.88 [0.81-0.96],0.87 [0.8-0.95],0.87 [0.81-0.95],0.88 [0.81-0.95],0.88 [0.81-0.95],0.88 [0.81-0.95],0.88 [0.81-0.95],0.88 [0.81-0.96],0.88 [0.81-0.95],0.88 [0.81-0.96],0.88 [0.81-0.96],0.88 [0.81-0.96],0.9 [0.83-0.98],0.9 [0.83-0.98],0.9 [0.83-0.98],0.9 [0.83-0.98],0.87 [0.8-0.94]
Neurological condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Neurological condition,1,0.77 [0.7-0.86],0.77 [0.69-0.86],0.77 [0.69-0.86],0.77 [0.69-0.86],0.78 [0.7-0.87],0.79 [0.7-0.88],0.82 [0.72-0.93],0.82 [0.73-0.93],0.86 [0.76-0.97],0.85 [0.76-0.97],0.85 [0.75-0.96],0.85 [0.75-0.96],0.85 [0.75-0.96],0.86 [0.76-0.97],0.86 [0.76-0.97],0.86 [0.76-0.97],0.86 [0.76-0.97],0.86 [0.76-0.97],0.86 [0.76-0.97],0.86 [0.76-0.97],0.86 [0.76-0.97],0.86 [0.76-0.98],0.87 [0.77-0.99],0.87 [0.77-0.99],0.87 [0.77-0.99],0.87 [0.77-0.99]
Immunocompromised*,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Immunocompromised*,1,0.74 [0.7-0.78],0.74 [0.7-0.79],0.73 [0.69-0.77],0.73 [0.69-0.77],0.73 [0.69-0.77],0.74 [0.7-0.79],0.74 [0.7-0.79],0.74 [0.7-0.79],0.8 [0.75-0.85],0.83 [0.77-0.88],0.82 [0.77-0.88],0.82 [0.77-0.88],0.82 [0.77-0.88],0.82 [0.77-0.88],0.82 [0.77-0.88],0.82 [0.77-0.88],0.83 [0.77-0.88],0.83 [0.77-0.88],0.83 [0.77-0.88],0.83 [0.78-0.89],0.84 [0.78-0.89],0.84 [0.78-0.89],0.84 [0.78-0.9],0.84 [0.78-0.9],0.84 [0.78-0.9],0.78 [0.73-0.84]
Depression,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Depression,1,0.82 [0.77-0.86],0.79 [0.74-0.83],0.76 [0.72-0.81],0.77 [0.72-0.81],0.75 [0.71-0.79],0.74 [0.7-0.79],0.8 [0.74-0.85],0.82 [0.77-0.88],0.84 [0.79-0.9],0.84 [0.79-0.9],0.86 [0.8-0.92],0.85 [0.8-0.91],0.85 [0.79-0.91],0.85 [0.8-0.91],0.85 [0.8-0.91],0.85 [0.8-0.91],0.86 [0.8-0.92],0.86 [0.8-0.92],0.86 [0.8-0.92],0.86 [0.8-0.92],0.86 [0.8-0.92],0.86 [0.8-0.92],0.86 [0.8-0.92],0.84 [0.78-0.9],0.84 [0.78-0.91],0.86 [0.79-0.92]
Anxiety,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anxiety,1,1.01 [0.95-1.06],0.96 [0.91-1.02],0.91 [0.87-0.96],0.92 [0.87-0.97],0.9 [0.85-0.95],0.9 [0.85-0.95],0.94 [0.89-1],0.96 [0.9-1.02],0.98 [0.93-1.05],0.98 [0.92-1.05],0.99 [0.93-1.05],0.99 [0.93-1.05],0.98 [0.92-1.05],0.98 [0.93-1.05],0.99 [0.93-1.05],0.98 [0.93-1.05],0.99 [0.93-1.05],0.99 [0.93-1.05],0.99 [0.93-1.05],0.99 [0.93-1.05],0.99 [0.93-1.06],0.99 [0.93-1.06],1.06 [0.99-1.14],1.06 [0.99-1.14],1.07 [0.99-1.14],1.07 [1-1.15]
Psychiatric disorder (other),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Psychiatric disorder (other),1,0.74 [0.61-0.89],0.69 [0.57-0.83],0.69 [0.57-0.84],0.7 [0.57-0.84],0.69 [0.57-0.84],0.69 [0.56-0.84],0.74 [0.59-0.91],0.78 [0.63-0.96],0.8 [0.65-1],0.8 [0.65-1],0.81 [0.65-1.01],0.81 [0.65-1],0.81 [0.65-1],0.81 [0.65-1.01],0.81 [0.65-1.01],0.81 [0.65-1.01],0.81 [0.65-1.01],0.81 [0.66-1.01],0.81 [0.65-1.01],0.81 [0.65-1.01],0.82 [0.66-1.02],0.82 [0.66-1.01],0.87 [0.69-1.08],0.85 [0.69-1.06],0.85 [0.69-1.06],0.9 [0.72-1.13]
