predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Other lung condition,1,0.92 [0.85-0.99],0.93 [0.86-1],0.94 [0.87-1.01],0.94 [0.87-1.02],0.93 [0.86-1.01],0.95 [0.87-1.03],0.99 [0.91-1.08],1.05 [0.96-1.14],1.04 [0.95-1.14],1.04 [0.95-1.13],1.03 [0.95-1.13],1.03 [0.94-1.13],1.03 [0.95-1.13],1.03 [0.95-1.13],1.03 [0.95-1.13],1.03 [0.95-1.13],1.04 [0.95-1.14],1.04 [0.95-1.14],1.04 [0.95-1.14],1.04 [0.95-1.14],1.04 [0.95-1.14],1.05 [0.96-1.14],1.05 [0.96-1.14],1.05 [0.96-1.14],0.98 [0.9-1.07]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.89 [0.81-0.97],0.89 [0.81-0.98],0.93 [0.85-1.02],0.93 [0.85-1.02],0.94 [0.86-1.03],0.92 [0.83-1.02],0.92 [0.83-1.02],0.95 [0.86-1.05],0.95 [0.86-1.05],0.94 [0.85-1.04],0.94 [0.85-1.04],0.95 [0.86-1.04],0.95 [0.86-1.05],0.95 [0.86-1.05],0.95 [0.86-1.05],0.95 [0.86-1.05],0.95 [0.86-1.04],0.95 [0.86-1.05],0.95 [0.86-1.05],0.95 [0.86-1.05],0.96 [0.86-1.06],0.95 [0.86-1.06],0.95 [0.86-1.06],0.95 [0.86-1.06],0.9 [0.81-1]
Neurological condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Neurological condition,1,0.84 [0.73-0.96],0.84 [0.74-0.96],0.84 [0.73-0.96],0.84 [0.74-0.97],0.86 [0.75-0.98],0.9 [0.77-1.04],0.9 [0.77-1.04],0.92 [0.79-1.07],0.92 [0.79-1.07],0.92 [0.79-1.07],0.92 [0.79-1.07],0.92 [0.79-1.06],0.92 [0.79-1.07],0.92 [0.79-1.07],0.92 [0.79-1.07],0.92 [0.79-1.07],0.92 [0.79-1.07],0.92 [0.79-1.07],0.92 [0.79-1.07],0.92 [0.79-1.07],0.93 [0.8-1.08],0.93 [0.8-1.08],0.93 [0.8-1.08],0.93 [0.8-1.08],0.91 [0.78-1.06]
Immunocompromised*,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Immunocompromised*,1,0.84 [0.79-0.9],0.87 [0.81-0.93],0.85 [0.79-0.91],0.85 [0.79-0.91],0.85 [0.79-0.91],0.86 [0.8-0.93],0.86 [0.8-0.93],0.91 [0.84-0.98],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.86-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.94 [0.87-1.02],0.95 [0.87-1.03],0.95 [0.87-1.03],0.95 [0.87-1.03],0.87 [0.8-0.94]
Depression,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Depression,1,0.83 [0.77-0.89],0.83 [0.77-0.9],0.81 [0.75-0.87],0.81 [0.75-0.88],0.79 [0.73-0.85],0.85 [0.78-0.92],0.86 [0.79-0.94],0.88 [0.81-0.96],0.88 [0.81-0.96],0.89 [0.82-0.97],0.89 [0.82-0.97],0.89 [0.82-0.97],0.89 [0.82-0.97],0.89 [0.82-0.97],0.89 [0.82-0.97],0.89 [0.82-0.97],0.9 [0.83-0.98],0.9 [0.82-0.97],0.9 [0.82-0.97],0.9 [0.82-0.98],0.9 [0.83-0.98],0.9 [0.83-0.98],0.88 [0.8-0.96],0.88 [0.8-0.96],0.89 [0.81-0.98]
Anxiety,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anxiety,1,0.99 [0.93-1.06],0.99 [0.93-1.06],0.94 [0.88-1.01],0.95 [0.88-1.01],0.92 [0.86-0.99],0.97 [0.9-1.04],0.98 [0.91-1.06],1 [0.92-1.07],1 [0.92-1.07],1 [0.93-1.08],1 [0.93-1.07],0.99 [0.92-1.07],1 [0.92-1.07],1 [0.92-1.07],1 [0.92-1.07],1 [0.93-1.08],1 [0.93-1.08],1 [0.93-1.08],1 [0.93-1.08],1 [0.93-1.08],1 [0.93-1.08],1.05 [0.97-1.14],1.05 [0.97-1.14],1.05 [0.97-1.15],1.05 [0.97-1.15]
Psychiatric disorder (other),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Psychiatric disorder (other),1,0.87 [0.68-1.11],0.86 [0.67-1.1],0.86 [0.67-1.1],0.85 [0.66-1.08],0.83 [0.64-1.06],0.87 [0.67-1.14],0.9 [0.69-1.17],0.92 [0.7-1.2],0.92 [0.7-1.2],0.93 [0.71-1.21],0.92 [0.71-1.21],0.92 [0.71-1.21],0.93 [0.71-1.21],0.92 [0.71-1.21],0.92 [0.71-1.21],0.93 [0.71-1.21],0.93 [0.71-1.22],0.93 [0.71-1.22],0.93 [0.71-1.22],0.93 [0.71-1.22],0.93 [0.71-1.22],0.97 [0.74-1.28],0.96 [0.73-1.27],0.96 [0.73-1.27],1.01 [0.77-1.34]
