predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,1.04 [0.95-1.13],0.97 [0.88-1.05],0.95 [0.87-1.03],0.94 [0.86-1.03],0.95 [0.87-1.04],0.93 [0.85-1.02],0.93 [0.85-1.03],0.93 [0.85-1.03],0.93 [0.85-1.03],0.93 [0.85-1.03],0.93 [0.85-1.03],0.93 [0.84-1.02],0.93 [0.85-1.03],0.93 [0.85-1.03],0.93 [0.85-1.03],0.93 [0.85-1.03],0.93 [0.85-1.03],0.94 [0.86-1.04],0.94 [0.85-1.04],0.94 [0.85-1.04],0.94 [0.86-1.04],0.95 [0.86-1.05],0.95 [0.86-1.04],0.95 [0.86-1.04],0.95 [0.86-1.04]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Other lung condition,1,0.69 [0.61-0.77],0.74 [0.66-0.83],0.75 [0.67-0.85],0.75 [0.67-0.84],0.77 [0.69-0.87],0.76 [0.67-0.86],0.78 [0.69-0.9],0.83 [0.72-0.95],0.83 [0.72-0.95],0.83 [0.73-0.95],0.83 [0.72-0.95],0.83 [0.72-0.95],0.83 [0.72-0.95],0.83 [0.72-0.95],0.83 [0.72-0.95],0.83 [0.72-0.95],0.84 [0.73-0.96],0.84 [0.73-0.96],0.84 [0.73-0.96],0.84 [0.73-0.96],0.85 [0.74-0.98],0.86 [0.75-0.98],0.85 [0.75-0.98],0.85 [0.75-0.98],0.86 [0.75-0.98]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.71 [0.63-0.81],0.77 [0.68-0.88],0.81 [0.71-0.92],0.81 [0.72-0.92],0.81 [0.71-0.93],0.82 [0.72-0.93],0.81 [0.7-0.93],0.8 [0.7-0.92],0.81 [0.7-0.92],0.8 [0.7-0.92],0.8 [0.7-0.92],0.8 [0.7-0.92],0.81 [0.7-0.93],0.81 [0.7-0.93],0.81 [0.7-0.93],0.81 [0.7-0.93],0.81 [0.7-0.93],0.81 [0.7-0.93],0.81 [0.7-0.93],0.81 [0.7-0.93],0.85 [0.74-0.98],0.85 [0.74-0.98],0.85 [0.74-0.98],0.85 [0.74-0.98],0.86 [0.74-0.98]
Neurological condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Neurological condition,1,0.61 [0.5-0.74],0.64 [0.52-0.77],0.64 [0.53-0.78],0.65 [0.53-0.79],0.66 [0.54-0.81],0.67 [0.54-0.82],0.72 [0.57-0.9],0.71 [0.57-0.9],0.72 [0.57-0.9],0.72 [0.57-0.9],0.72 [0.57-0.9],0.72 [0.57-0.9],0.72 [0.58-0.91],0.72 [0.58-0.91],0.72 [0.58-0.91],0.73 [0.58-0.91],0.72 [0.58-0.91],0.72 [0.58-0.91],0.73 [0.58-0.91],0.73 [0.58-0.91],0.73 [0.59-0.92],0.74 [0.59-0.93],0.74 [0.59-0.93],0.74 [0.59-0.93],0.74 [0.59-0.93]
Immunocompromised*,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Immunocompromised*,1,0.68 [0.61-0.76],0.62 [0.56-0.7],0.62 [0.55-0.69],0.62 [0.55-0.69],0.65 [0.58-0.72],0.64 [0.57-0.72],0.65 [0.58-0.73],0.65 [0.58-0.73],0.68 [0.61-0.77],0.69 [0.61-0.78],0.69 [0.61-0.78],0.69 [0.61-0.78],0.69 [0.61-0.78],0.69 [0.61-0.78],0.69 [0.61-0.78],0.69 [0.61-0.78],0.69 [0.61-0.78],0.69 [0.61-0.79],0.71 [0.62-0.8],0.71 [0.63-0.8],0.71 [0.63-0.8],0.71 [0.63-0.81],0.71 [0.63-0.8],0.71 [0.63-0.8],0.71 [0.63-0.8]
Depression,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Depression,1,1.01 [0.9-1.14],0.85 [0.75-0.96],0.83 [0.73-0.93],0.82 [0.73-0.93],0.82 [0.73-0.93],0.8 [0.7-0.9],0.81 [0.71-0.93],0.83 [0.72-0.95],0.83 [0.73-0.95],0.84 [0.73-0.96],0.84 [0.73-0.96],0.83 [0.73-0.95],0.84 [0.73-0.96],0.84 [0.73-0.96],0.84 [0.73-0.96],0.84 [0.73-0.96],0.84 [0.74-0.96],0.85 [0.74-0.97],0.85 [0.74-0.97],0.85 [0.75-0.98],0.86 [0.75-0.98],0.86 [0.75-0.98],0.8 [0.69-0.93],0.8 [0.69-0.93],0.8 [0.69-0.93]
Anxiety,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anxiety,1,1.25 [1.12-1.39],1.07 [0.97-1.19],1.02 [0.92-1.14],1.03 [0.92-1.14],1.03 [0.93-1.15],1.01 [0.9-1.12],1.03 [0.92-1.16],1.05 [0.93-1.18],1.05 [0.94-1.19],1.06 [0.94-1.19],1.06 [0.94-1.19],1.05 [0.93-1.18],1.05 [0.93-1.18],1.05 [0.93-1.19],1.05 [0.93-1.19],1.05 [0.93-1.19],1.06 [0.94-1.19],1.06 [0.94-1.2],1.06 [0.94-1.2],1.07 [0.95-1.2],1.07 [0.95-1.21],1.15 [1.01-1.31],1.15 [1.01-1.31],1.15 [1.01-1.31],1.15 [1.01-1.31]
Psychiatric disorder (other),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Psychiatric disorder (other),1,1.07 [0.71-1.62],0.88 [0.58-1.34],0.91 [0.6-1.39],0.93 [0.6-1.42],0.99 [0.64-1.53],0.96 [0.62-1.49],0.92 [0.58-1.45],0.94 [0.59-1.49],0.93 [0.59-1.47],0.94 [0.59-1.48],0.94 [0.59-1.48],0.93 [0.59-1.47],0.95 [0.6-1.51],0.95 [0.6-1.51],0.95 [0.6-1.51],0.96 [0.6-1.51],0.96 [0.6-1.52],0.96 [0.61-1.53],0.97 [0.61-1.53],0.97 [0.61-1.54],0.98 [0.62-1.55],1.04 [0.65-1.66],1.01 [0.63-1.61],1.01 [0.63-1.61],0.99 [0.62-1.59]
