predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,0.93 [0.71-1.22],0.88 [0.67-1.16],0.87 [0.66-1.15],0.9 [0.68-1.18],0.92 [0.69-1.21],0.9 [0.66-1.22],0.88 [0.65-1.2],0.92 [0.67-1.26],0.92 [0.67-1.26],0.92 [0.67-1.26],0.92 [0.68-1.26],0.92 [0.68-1.26],0.92 [0.67-1.26],0.92 [0.68-1.26],0.92 [0.67-1.26],0.92 [0.67-1.25],0.92 [0.67-1.25],0.93 [0.68-1.27],0.93 [0.68-1.27],0.93 [0.68-1.27],0.93 [0.68-1.27],0.94 [0.69-1.29],0.94 [0.68-1.28],0.94 [0.69-1.29],0.94 [0.69-1.29]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Other lung condition,1,0.54 [0.39-0.75],0.62 [0.45-0.86],0.62 [0.45-0.87],0.61 [0.44-0.85],0.68 [0.49-0.96],0.67 [0.47-0.96],0.74 [0.51-1.07],0.82 [0.56-1.2],0.82 [0.56-1.2],0.82 [0.56-1.2],0.81 [0.55-1.19],0.81 [0.55-1.19],0.82 [0.56-1.2],0.82 [0.56-1.2],0.82 [0.56-1.2],0.82 [0.56-1.2],0.83 [0.56-1.21],0.83 [0.56-1.21],0.83 [0.56-1.21],0.82 [0.56-1.21],0.83 [0.56-1.21],0.84 [0.57-1.24],0.84 [0.57-1.24],0.83 [0.56-1.22],0.83 [0.56-1.22]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.79 [0.48-1.32],0.92 [0.55-1.52],0.93 [0.56-1.55],0.91 [0.55-1.52],0.92 [0.55-1.54],0.86 [0.5-1.47],0.9 [0.52-1.57],0.96 [0.55-1.68],0.98 [0.56-1.72],0.98 [0.56-1.71],0.99 [0.56-1.72],0.99 [0.56-1.72],1.01 [0.57-1.76],1 [0.57-1.76],1 [0.57-1.75],1 [0.57-1.75],1 [0.57-1.75],0.99 [0.57-1.74],0.99 [0.57-1.74],0.99 [0.56-1.74],1.02 [0.58-1.79],1.01 [0.58-1.78],1.03 [0.58-1.81],1.03 [0.59-1.82],1.04 [0.59-1.83]
Neurological condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Neurological condition,1,0.57 [0.29-1.11],0.61 [0.31-1.19],0.61 [0.31-1.2],0.6 [0.3-1.17],0.62 [0.31-1.23],0.74 [0.33-1.66],0.76 [0.34-1.71],0.84 [0.37-1.9],0.83 [0.36-1.87],0.83 [0.37-1.88],0.81 [0.36-1.84],0.81 [0.36-1.84],0.82 [0.36-1.86],0.82 [0.36-1.86],0.82 [0.36-1.87],0.83 [0.36-1.87],0.82 [0.36-1.85],0.81 [0.36-1.83],0.81 [0.36-1.83],0.81 [0.36-1.83],0.81 [0.36-1.85],0.83 [0.37-1.9],0.82 [0.36-1.87],0.8 [0.35-1.83],0.8 [0.35-1.82]
Immunocompromised*,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Immunocompromised*,1,0.64 [0.47-0.88],0.63 [0.46-0.86],0.62 [0.45-0.86],0.61 [0.44-0.84],0.65 [0.47-0.9],0.67 [0.47-0.95],0.69 [0.48-0.98],0.76 [0.52-1.1],0.79 [0.54-1.15],0.79 [0.54-1.16],0.79 [0.54-1.16],0.79 [0.54-1.16],0.8 [0.55-1.17],0.8 [0.54-1.17],0.79 [0.54-1.15],0.78 [0.53-1.15],0.78 [0.53-1.15],0.79 [0.54-1.15],0.79 [0.53-1.15],0.79 [0.54-1.16],0.79 [0.54-1.16],0.79 [0.54-1.16],0.79 [0.54-1.16],0.79 [0.54-1.17],0.79 [0.54-1.17]
Depression,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Depression,1,0.58 [0.44-0.78],0.51 [0.38-0.68],0.5 [0.37-0.67],0.51 [0.38-0.69],0.55 [0.41-0.75],0.56 [0.4-0.79],0.6 [0.43-0.84],0.62 [0.44-0.87],0.63 [0.44-0.88],0.63 [0.45-0.89],0.63 [0.44-0.88],0.63 [0.44-0.88],0.63 [0.44-0.88],0.63 [0.44-0.88],0.62 [0.44-0.88],0.62 [0.44-0.88],0.62 [0.44-0.88],0.63 [0.44-0.89],0.63 [0.44-0.89],0.63 [0.45-0.89],0.63 [0.45-0.89],0.63 [0.45-0.89],0.57 [0.39-0.83],0.55 [0.38-0.81],0.55 [0.38-0.81]
Anxiety,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anxiety,1,0.91 [0.68-1.22],0.79 [0.59-1.06],0.78 [0.58-1.05],0.79 [0.58-1.06],0.84 [0.62-1.14],0.92 [0.65-1.3],0.98 [0.69-1.39],1.02 [0.72-1.46],1.02 [0.71-1.45],1.02 [0.72-1.46],1.02 [0.71-1.45],1.02 [0.71-1.45],1.02 [0.71-1.46],1.02 [0.72-1.46],1.02 [0.71-1.46],1.02 [0.71-1.45],1.02 [0.71-1.46],1.02 [0.72-1.46],1.02 [0.72-1.46],1.03 [0.72-1.47],1.03 [0.72-1.47],1.29 [0.87-1.92],1.29 [0.87-1.92],1.28 [0.86-1.9],1.27 [0.86-1.89]
Psychiatric disorder (other),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Psychiatric disorder (other),1,3.11 [0.43-22.71],2.26 [0.31-16.67],2.28 [0.31-16.85],2.35 [0.32-17.35],3.02 [0.4-22.6],2.67 [0.35-20.09],2.9 [0.38-21.99],2.95 [0.39-22.42],2.93 [0.39-22.23],3.03 [0.4-23.12],3.1 [0.41-23.72],3.1 [0.41-23.71],3.14 [0.41-23.99],3.13 [0.41-23.9],3.14 [0.41-24],3.15 [0.41-24.09],3.12 [0.41-23.88],3.25 [0.42-25.02],3.25 [0.42-25.02],3.29 [0.43-25.27],3.26 [0.42-25.09],3.93 [0.51-30.35],3.83 [0.49-29.73],3.83 [0.49-29.73],3.86 [0.5-29.99]
