predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Other lung condition,1,0.63 [0.54-0.73],0.71 [0.61-0.83],0.72 [0.62-0.85],0.71 [0.61-0.83],0.71 [0.61-0.83],0.74 [0.62-0.88],0.8 [0.67-0.96],0.95 [0.79-1.14],0.93 [0.77-1.11],0.92 [0.77-1.11],0.92 [0.77-1.1],0.92 [0.76-1.1],0.92 [0.76-1.1],0.92 [0.76-1.1],0.92 [0.76-1.1],0.92 [0.77-1.1],0.92 [0.77-1.11],0.92 [0.77-1.11],0.9 [0.75-1.09],0.9 [0.75-1.08],0.9 [0.75-1.08],0.9 [0.75-1.08],0.9 [0.75-1.08],0.9 [0.75-1.08],0.9 [0.75-1.08]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.44 [0.38-0.52],0.5 [0.43-0.59],0.52 [0.44-0.61],0.52 [0.44-0.61],0.52 [0.44-0.62],0.52 [0.44-0.62],0.52 [0.44-0.62],0.57 [0.48-0.68],0.57 [0.48-0.68],0.56 [0.47-0.67],0.56 [0.47-0.67],0.57 [0.48-0.68],0.57 [0.48-0.68],0.57 [0.48-0.68],0.57 [0.48-0.68],0.57 [0.48-0.69],0.57 [0.48-0.68],0.57 [0.48-0.68],0.57 [0.48-0.68],0.57 [0.48-0.68],0.64 [0.53-0.76],0.64 [0.53-0.76],0.64 [0.53-0.76],0.64 [0.53-0.76],0.63 [0.53-0.76]
Neurological condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Neurological condition,1,0.5 [0.38-0.65],0.57 [0.43-0.74],0.57 [0.44-0.75],0.57 [0.44-0.75],0.57 [0.44-0.75],0.57 [0.42-0.77],0.58 [0.43-0.78],0.64 [0.47-0.87],0.63 [0.47-0.86],0.64 [0.47-0.86],0.64 [0.47-0.86],0.64 [0.47-0.87],0.64 [0.47-0.87],0.64 [0.47-0.87],0.64 [0.47-0.86],0.64 [0.47-0.87],0.64 [0.47-0.87],0.64 [0.47-0.87],0.64 [0.47-0.86],0.64 [0.47-0.86],0.65 [0.48-0.88],0.65 [0.48-0.89],0.65 [0.48-0.88],0.65 [0.48-0.88],0.66 [0.49-0.9]
Immunocompromised*,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Immunocompromised*,1,0.43 [0.38-0.49],0.4 [0.35-0.46],0.4 [0.35-0.45],0.39 [0.35-0.45],0.4 [0.35-0.45],0.39 [0.34-0.44],0.39 [0.34-0.45],0.44 [0.38-0.51],0.47 [0.4-0.54],0.47 [0.4-0.54],0.47 [0.4-0.54],0.47 [0.4-0.54],0.47 [0.4-0.54],0.47 [0.41-0.55],0.47 [0.41-0.55],0.48 [0.41-0.55],0.48 [0.41-0.55],0.48 [0.41-0.55],0.5 [0.43-0.58],0.5 [0.43-0.59],0.5 [0.43-0.59],0.5 [0.43-0.59],0.5 [0.43-0.59],0.5 [0.43-0.59],0.5 [0.43-0.58]
Depression,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Depression,1,1.02 [0.85-1.22],0.84 [0.7-1.01],0.82 [0.69-0.99],0.82 [0.68-0.98],0.81 [0.67-0.97],0.8 [0.66-0.98],0.84 [0.69-1.02],0.89 [0.73-1.09],0.89 [0.73-1.08],0.9 [0.73-1.1],0.89 [0.73-1.09],0.89 [0.73-1.08],0.89 [0.73-1.08],0.89 [0.73-1.09],0.89 [0.73-1.09],0.9 [0.74-1.1],0.9 [0.74-1.1],0.9 [0.74-1.11],0.91 [0.74-1.11],0.92 [0.75-1.12],0.93 [0.76-1.13],0.93 [0.76-1.13],0.83 [0.67-1.04],0.84 [0.67-1.05],0.83 [0.67-1.04]
Anxiety,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anxiety,1,1.27 [1.08-1.51],1.08 [0.91-1.29],1.05 [0.88-1.24],1.05 [0.89-1.25],1.04 [0.88-1.24],1.06 [0.88-1.28],1.1 [0.91-1.32],1.15 [0.95-1.38],1.14 [0.95-1.38],1.15 [0.95-1.39],1.15 [0.95-1.39],1.14 [0.94-1.37],1.14 [0.94-1.37],1.14 [0.94-1.38],1.14 [0.95-1.38],1.15 [0.95-1.39],1.15 [0.95-1.39],1.16 [0.96-1.4],1.16 [0.96-1.4],1.17 [0.97-1.41],1.18 [0.98-1.43],1.26 [1.03-1.56],1.26 [1.03-1.56],1.27 [1.03-1.56],1.27 [1.03-1.57]
Psychiatric disorder (other),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Psychiatric disorder (other),1,0.87 [0.47-1.61],0.67 [0.36-1.26],0.69 [0.37-1.29],0.76 [0.4-1.46],0.76 [0.4-1.47],0.71 [0.37-1.37],0.75 [0.39-1.45],0.79 [0.41-1.52],0.81 [0.41-1.57],0.81 [0.41-1.57],0.81 [0.41-1.57],0.8 [0.41-1.55],0.8 [0.41-1.55],0.81 [0.42-1.57],0.81 [0.42-1.57],0.82 [0.42-1.6],0.82 [0.42-1.6],0.83 [0.43-1.61],0.84 [0.43-1.64],0.85 [0.44-1.66],0.83 [0.43-1.62],0.85 [0.44-1.67],0.81 [0.42-1.59],0.81 [0.42-1.59],0.8 [0.41-1.58]
